ORTHO,GPMATCH,LESSON,READING,WRITING
mucho,(m-m.u-u.ch-C.o-o),25,1,0
mucha,(m-m.u-u.ch-C.a-a),25,1,0
flecha,(f-f.l-l.e-e.ch-C.a-a),25,1,0
lancha,(l-l.a-a.n-n.ch-C.a-a),25,1,0
mancha,(m-m.a-a.n-n.ch-C.a-a),25,1,0
anoche,(a-a.n-n.o-o.ch-C.e-e),25,1,0
coche,(c-k.o-o.ch-C.e-e),25,1,0
chicle,(ch-C.i-i.c-k.l-l.e-e),25,1,0
cancha,(c-k.a-a.n-n.ch-C.a-a),25,1,0
mochila,(m-m.o-o.ch-C.i-i.l-l.a-a),25,1,0
chaleco,(ch-C.a-a.l-l.e-e.c-k.o-o),25,1,0
cuchara,(c-k.u-u.ch-C.a-a.r-r.a-a),25,1,0
lechuga,(l-l.e-e.ch-C.u-u.g-g.a-a),25,1,0
derecha,(d-d.e-e.r-r.e-e.ch-C.a-a),25,1,0
derecho,(d-d.e-e.r-r.e-e.ch-C.o-o),25,1,0
chimenea,(ch-C.i-i.m-m.e-e.n-n.e-e.a-a),25,1,0
escuchar,(e-e.s-s.c-k.u-u.ch-C.a-a.r-r),25,1,0
chocolate,(ch-C.o-o.c-k.o-o.l-l.a-a.t-t.e-e),25,1,0
estuche,(e-e.s-s.t-t.u-u.ch-C.e-e),25,1,0
qué,(qu-k.é-e),26,1,0
equipo,(e-e.qu-k.i-i.p-p.o-o),26,1,0
parque,(p-p.a-a.r-r.qu-k.e-e),26,1,0
quién,(qu-k.i-i.é-e.n-n),26,1,0
quiero,(qu-k.i-i.e-e.r-r.o-o),26,1,0
querido,(qu-k.e-e.r-r.i-i.d-d.o-o),26,1,0
quieto,(qu-k.i-i.e-e.t-t.o-o),26,1,0
quinto,(qu-k.i-i.n-n.t-t.o-o),26,1,0
querer,(qu-k.e-e.r-r.e-e.r-r),26,1,0
queso,(qu-k.e-e.s-s.o-o),26,1,0
quemar,(qu-k.e-e.m-m.a-a.r-r),26,1,0
aquí,(a-a.qu-k.í-i),26,1,0
mantequilla,(m-m.a-a.n-n.t-t.e-e.qu-k.i-i.ll-L.a-a),26,1,0
raqueta,(r-R.a-a.qu-k.e-e.t-t.a-a),26,1,0
chaqueta,(ch-C.a-a.qu-k.e-e.t-t.a-a),26,1,0
paquete,(p-p.a-a.qu-k.e-e.t-t.e-e),26,1,0
mosquito,(m-m.o-o.s-s.qu-k.i-i.t-t.o-o),26,1,0
esquimal,(e-e.s-s.qu-k.i-i.m-m.a-a.l-l),26,1,0
maqueta,(m-m.a-a.qu-k.e-e.t-t.a-a),26,1,0
tanque,(t-t.a-a.n-n.qu-k.e-e),26,1,0
líquido,(l-l.í-i.qu-k.i-i.d-d.o-o),26,1,0
quizás,(qu-k.i-i.z-s.á-a.s-s),31,1,0
esquina,(e-e.s-s.qu-k.i-i.n-n.a-a),26,1,0
cena,(c-s.e-e.n-n.a-a),27,1,0
vacío,(v-b.a-a.c-s.í-i.o-o),27,1,0
crecer,(c-k.r-r.e-e.c-s.e-e.r-r),27,1,0
cinco,(c-s.i-i.n-n.c-k.o-o),27,1,0
cerca,(c-s.e-e.r-r.c-k.a-a),27,1,0
ciclón,(c-s.i-i.c-k.l-l.ó-o.n-n),27,1,0
cepillo,(c-s.e-e.p-p.i-i.ll-L.o-o),27,1,0
parece,(p-p.a-a.r-r.e-e.c-s.e-e),27,1,0
dulces,(d-d.u-u.l-l.c-s.e-e.s-s),27,1,0
ciudad,(c-s.i-i.u-u.d-d.a-a.d-d),27,1,0
